Confirmed list of securities to be auctioned in A 2021184 to be held on Oct 01 2021.

Sr No,Symbol,Series,Total Qty
1,20MICRONS,EQ,502
2,21STCENMGM,EQ,1725
3,AAKASH,EQ,18
4,AARTIIND,EQ,1
5,AARTISURF,EQ,1
6,AARVEEDEN,EQ,1
7,AARVI,EQ,221
8,AAVAS,EQ,10
9,ABB,EQ,7
10,ABMINTLLTD,EQ,160
11,ACCURACY,EQ,301
12,ADANIPORTS,EQ,180
13,ADVANIHOTR,EQ,500
14,AGARIND,EQ,5
15,AGROPHOS,EQ,5
16,AHLADA,EQ,17
17,ALANKIT,EQ,1
18,ALEMBICLTD,EQ,3
19,ALKEM,EQ,20
20,AMRUTANJAN,EQ,300
21,ANDHRSUGAR,EQ,25
22,APLLTD,EQ,262
23,APOLLO,EQ,5
24,APTECHT,EQ,20
25,APTUS,EQ,7
26,ASHAPURMIN,EQ,70
27,ASHOKA,EQ,1
28,ASPINWALL,EQ,81
29,AUROPHARMA,EQ,203
30,AWHCL,EQ,31
31,AXISCADES,EQ,66
32,BAJAJFINSV,EQ,2
33,BALKRISIND,EQ,124
34,BALMLAWRIE,EQ,500
35,BASML,EQ,1168
36,BCLIND,EQ,10
37,BEL,EQ,718
38,BHARATFORG,EQ,160
39,BHARTIARTL,EQ,253
40,BHEL,EQ,300
41,BIGBLOC,EQ,1
42,BLBLIMITED,EQ,1058
43,BLISSGVS,EQ,5
44,BLKASHYAP,EQ,190
45,BLS,EQ,341
46,BRITANNIA,EQ,1
47,BRNL,EQ,100
48,BUTTERFLY,EQ,57
49,CALSOFT,EQ,851
50,CANBK,EQ,67
51,CANFINHOME,EQ,65
52,CENTRUM,EQ,1626
53,CENTURYPLY,EQ,1890
54,CERA,EQ,52
55,CESC,EQ,50
56,CHALET,EQ,5
57,CHENNPETRO,EQ,50
58,CHOLAFIN,EQ,460
59,CHOLAHLDNG,EQ,1
60,CIPLA,EQ,228
61,COALINDIA,EQ,31
62,CREDITACC,EQ,24
63,CUB,EQ,1833
64,DABUR,EQ,274
65,DALBHARAT,EQ,1
66,DCW,EQ,900
67,DEEPAKFERT,EQ,1
68,DELTAMAGNT,EQ,12
69,DISHTV,EQ,25
70,DIVISLAB,EQ,5
71,DLF,EQ,56
72,DRREDDY,EQ,11
73,ELECTCAST,EQ,500
74,ENDURANCE,EQ,11
75,ENERGYDEV,EQ,2234
76,EXIDEIND,EQ,396
77,FACT,EQ,430
78,FEL,EQ,5001
79,GENESYS,EQ,1
80,GENUSPOWER,EQ,1
81,GFSTEELS,EQ,36
82,GINNIFILA,EQ,2057
83,GLAND,EQ,108
84,GLAXO,EQ,90
85,GLENMARK,EQ,148
86,GMRINFRA,EQ,1
87,GOACARBON,EQ,3
88,GODFRYPHLP,EQ,10
89,GOLDBEES,EQ,200
90,GOLDENTOBC,EQ,2576
91,GPIL,EQ,161
92,GRANULES,EQ,1334
93,GRASIM,EQ,37
94,GREENPANEL,EQ,62
95,GRINFRA,EQ,86
96,GSPL,EQ,50
97,GUJALKALI,EQ,1
98,GUJGASLTD,EQ,68
99,HATHWAY,EQ,153
100,HDFCBANK,EQ,1
101,HEROMOTOCO,EQ,1
102,HIKAL,EQ,1
103,HINDALCO,EQ,5
104,HINDPETRO,EQ,1144
105,HINDUNILVR,EQ,36
106,HISARMETAL,EQ,70
107,HUDCO,EQ,850
108,IBREALEST,EQ,50
109,ICICIBANK,EQ,10
110,ICICIGI,EQ,39
111,ICICIPRULI,EQ,6984
112,ICIL,EQ,2005
113,IDEA,EQ,10
114,IDFCFIRSTB,EQ,879
115,IEX,EQ,520
116,IFCI,EQ,112
117,IGL,EQ,47
118,IIFLSEC,EQ,108
119,IIFLWAM,EQ,24
120,IITL,EQ,5
121,IMAGICAA,EQ,861
122,INDBANK,EQ,101
123,INDIANB,EQ,2
124,INDIANHUME,EQ,85
125,INDIGO,EQ,4
126,INDLMETER,EQ,80
127,INDUSINDBK,EQ,208
128,INOXLEISUR,EQ,50
129,IOB,EQ,100
130,IRCTC,EQ,40
131,ITC,EQ,4501
132,IVC,EQ,44
133,IVZINGOLD,EQ,2
134,JAIBALAJI,EQ,401
135,JISLJALEQS,EQ,30
136,JMFINANCIL,EQ,145
137,JPASSOCIAT,EQ,9786
138,JPPOWER,EQ,81858
139,JSWSTEEL,EQ,117
140,JUBLFOOD,EQ,9
141,KCPSUGIND,EQ,500
142,KIRLOSBROS,EQ,5
143,KOTARISUG,EQ,24
144,KSOLVES,SM,800
145,L&TFH,EQ,2232
146,LASA,EQ,171
147,LIBAS,EQ,3071
148,LIQUIDBEES,EQ,1
149,LTTS,EQ,1
150,LXCHEM,EQ,250
151,LYPSAGEMS,EQ,200
152,M&M,EQ,10
153,MAHLIFE,EQ,5
154,MANAKALUCO,EQ,274
155,MANALIPETC,EQ,1458
156,MANAPPURAM,EQ,257
157,MANINDS,EQ,2
158,MARATHON,EQ,8
159,MARICO,EQ,152
160,MARINE,EQ,1000
161,MAXHEALTH,EQ,3
162,MAXVIL,EQ,50
163,MCDOWELL-N,EQ,1
164,MCX,EQ,2
165,MHRIL,EQ,50
166,MIDHANI,EQ,43
167,MOM100,EQ,1
168,MOTHERSUMI,EQ,434
169,MPHASIS,EQ,7
170,MRO-TEK,EQ,80
171,MSTCLTD,EQ,25
172,NAUKRI,EQ,75
173,NAVNETEDUL,EQ,500
174,NBCC,EQ,2035
175,NBVENTURES,EQ,1000
176,NDTV,EQ,1
177,NELCO,EQ,4173
178,NHPC,EQ,1
179,NIFTYBEES,EQ,26
180,NMDC,EQ,102
181,NTPC,EQ,40
182,NURECA,EQ,36
183,OAL,EQ,3
184,OFSS,EQ,96
185,OIL,EQ,55
186,ONGC,EQ,1
187,ONWARDTEC,EQ,28
188,ORICONENT,EQ,50
189,ORISSAMINE,EQ,1
190,PAISALO,EQ,3
191,PAR,EQ,773
192,PCJEWELLER,EQ,1
193,PFC,EQ,302
194,PFOCUS,EQ,88
195,PITTIENG,EQ,5
196,PNB,EQ,50
197,PNCINFRA,EQ,9
198,PODDARHOUS,EQ,1
199,POWERGRID,EQ,96
200,PRAKASHSTL,EQ,96
201,PREMIERPOL,EQ,125
202,PRICOLLTD,EQ,999
203,PRINCEPIPE,EQ,1
204,PRSMJOHNSN,EQ,50
205,PTC,EQ,200
206,RBL,EQ,50
207,RCF,EQ,500
208,RELCAPITAL,EQ,4826
209,RELIANCE,EQ,57
210,REVATHI,EQ,1
211,RPGLIFE,EQ,5
212,RPSGVENT,EQ,4
213,RSWM,EQ,38
214,SAKSOFT,EQ,1
215,SALASAR,EQ,992
216,SANGHVIMOV,EQ,3
217,SANSERA,EQ,17
218,SARLAPOLY,EQ,180
219,SBIN,EQ,483
220,SECURKLOUD,EQ,1592
221,SEPOWER,EQ,529
222,SGIL,EQ,1
223,SHANTIGEAR,EQ,68
224,SHARDACROP,EQ,1
225,SHIVATEX,EQ,2
226,SHK,EQ,1
227,SHREERAMA,EQ,1752
228,SIEMENS,EQ,6
229,SITINET,EQ,184
230,SKIL,EQ,1
231,SOMANYCERA,EQ,7
232,SONACOMS,EQ,44
233,SOUTHWEST,EQ,44
234,SPARC,EQ,20
235,SPIC,EQ,1
236,SPICEJET,EQ,125
237,SPTL,EQ,16599
